id,thread_id,query,response,mode,citations,timestamp
1,thread_04DQMjQTVc30ItBANRiaNpqD,Que propone el PSOE para solucionar el acceso a la vivienda?,"Las principales propuestas del PSOE para solucionar el acceso a la vivienda son:

1. **Desarrollo de Nuevas Modalidades Residenciales**:
   - Desarrollarán una regulación sobre nuevas modalidades residenciales como el alojamiento temporal, el “cohousing”, los apartamentos dotacionales, viviendas intergeneracionales y cooperativas de cesión de uso, para proveer a sus usuarios de seguridad jurídica y colaboración en su desarrollo (PSOE_Generales2023.pdf, BLOQUE V).

2. **Consolidación del Bono Alquiler Joven**:
   - Consolidarán el Bono Alquiler Joven como elemento esencial para facilitar el acceso al alquiler asequible, junto con el refuerzo de ayudas directas para el alquiler de vivienda habitual y el desarrollo de una nueva línea de avales del ICO para jóvenes (PSOE_Generales2023.pdf, BLOQUE V).

3. **Incremento del Parque de Vivienda Pública de Alquiler**:
   - Incrementarán el actual parque de vivienda pública de alquiler social mediante una ambiciosa política de inversión pública para alcanzar el 20% de vivienda pública en régimen de alquiler, beneficiando principalmente a personas jóvenes y otros colectivos con dificultad de acceso a la vivienda (PSOE_Generales2023.pdf, BLOQUE V).

4. **Políticas Específicas para Colectivos Vulnerables**:
   - Implementarán políticas orientadas a arrendatarios con menos recursos y colectivos vulnerables, incluyendo el refuerzo de los programas de los Planes Estatales de Vivienda y la atención especial a las personas sin hogar mediante programas como housing first (PSOE_Generales2023.pdf, BLOQUE V).

Referencias:
   - Documento: PSOE_Generales2023.pdf",neutral,"",2025-02-09 20:46:39.606086
2,thread_04DQMjQTVc30ItBANRiaNpqD,y el PP?,"Las principales propuestas del PP para solucionar el acceso a la vivienda son:

1. **Impulsaremos las inversiones en infraestructuras conectadas, sostenibles y seguras**:
   - Esta propuesta se centra en mejorar la calidad de vida a través del desarrollo de infraestructuras, incluida la promoción del acceso a la vivienda, pero no detalla medidas específicas para el sector de la vivienda directamente (PP_Generales2023.pdf, p. 31).

2. **Propuesta de un Pacto de Estado sobre la Vivienda con participación de Comunidades Autónomas y entidades locales**:
   - Se busca explorar soluciones conjuntas para garantizar un uso racional del suelo y mejorar el acceso a la vivienda, aunque no se detallan medidas concretas dentro de esta propuesta general (PP_Generales2023.pdf, p. 31).

Referencias:
   - Documento: PP_Generales2023.pdf",neutral,"",2025-02-09 20:47:14.069673
3,thread_72srPFnzSiF5WeL1FITMFSfA,Que propone el PSOE para solucionar el acceso a la vivienda?,"### Propuestas del PSOE para solucionar el acceso a la vivienda:

1. **Diversificación de Modalidades Residenciales**:
   - Regularán nuevas modalidades residenciales como el alojamiento temporal, el ""cohousing"", entre otros, fomentando la colaboración público-privada y el acceso a créditos para impulsar estos modelos innovadores (PSOE_Generales2023.pdf, p. 220).

2. **Acceso de Personas Jóvenes a la Vivienda**:
   - Consolidación del Bono Alquiler Joven, refuerzo de ayudas directas, aplicación de avales del ICO, destinación del 30% de viviendas a jóvenes, y apoyo a la propiedad en municipios pequeños, entre otras medidas específicas (PSOE_Generales2023.pdf, p. 220).

3. **Protección del Parque de Vivienda Social y Alquiler Asequible**:
   - Aumento de reservas de suelo, promoción del derecho de superficie, movilización de viviendas vacías, establecimiento de incentivos a la rehabilitación, y garantía de destinar el suelo a viviendas de protección oficial en desarrollos urbanísticos (PSOE_Generales2023.pdf, p. 218).

4. **Políticas para Colectivos Vulnerables**:
   - Reforzamiento de programas de vivienda social, atención a personas sin hogar, y promoción de una red de recursos residenciales para colectivos vulnerables, con especial énfasis en evitar la pérdida de vivienda por precariedad y facilitar acceso a quienes no pueden alcanzar los precios de mercado (PSOE_Generales2023.pdf, p. 218).

Referencias:
- Documento: PSOE_Generales2023.pdf",neutral,"",2025-02-11 14:20:11.019939
4,thread_AD1MYMT915EQ9d26hkx4wM7J,¿Qué políticas hay para mejorar la calidad del empleo?,"### Propuestas para Mejorar la Calidad del Empleo:

1. **Reducir la Tasa de Desempleo y Mejorar la Calidad del Empleo**:
   - Incluye impulsar el crecimiento para crear al menos 185 mil puestos de trabajo en Cataluña, promover más estabilidad en la contratación, salarios justos, formación, seguridad para la reocupación y disminución de la brecha salarial (Junts_Generales2023.pdf, p. 1).

2. **Incrementar las Políticas Activas de Empleo y Apoyo a Diferentes Grupos**:
   - Se propone políticas para jóvenes, personas mayores, desempleados de larga duración y personas con discapacidades, gestionadas por la Generalitat (Junts_Generales2023.pdf, p. 1).

3. **Fomento de la Formación y Empleo de Calidad**:
   - Se plantea facilitar la culminación de estudios en un marco de trabajo decente, promover la formación para autónomos y trabajadores, garantizar una oferta formativa específica y establecer créditos mínimos para formación y bonificaciones (Sumar_Generales2023.pdf, p. 5-6). 

4. **Impulso a la Inversión y Creación de Empleo de Calidad**:
   - Se menciona la necesidad de un Pacto por el Pleno Empleo con enfoque en la formación y colocación, mejoras en el sistema de información de empleo, programas de formación cortos y recualificación, aumento de la oferta de Formación Profesional, y prácticas de empresa con apoyo económico y formativo (PSOE_Generales2023.pdf, p. 1-2).

5. **Políticas Específicas para Combatir el Desempleo Juvenil**:
   - Se propone priorizar la lucha contra el desempleo juvenil con medidas como becas remuneradas de ""segunda oportunidad"", incremento de incentivos para contratos en prácticas, establecimiento de becas para prácticas no laborales y reformas para facilitar el acceso de los jóvenes al mercado laboral (Junts_Generales2023.pdf, p. 1-2).

### Referencias:
- Junts_Generales2023.pdf
- Sumar_Generales2023.pdf
- PSOE_Generales2023.pdf",neutral,"",2025-02-12 18:37:23.495038
5,thread_cvIpgaRRs4dtMcAzeOAV00yq,¿Qué planes tienen los partidos para reducir las listas de espera en hospitales?,"Las propuestas de algunos partidos políticos para reducir las listas de espera en hospitales en España son las siguientes:

1. **Tiempos Máximos de Espera Legales**:
   - El PSOE propone acabar con las listas de espera estableciendo por ley unos tiempos máximos de espera: 120 días para intervenciones quirúrgicas, 60 días para consultas externas especializadas, y 30 días para pruebas complementarias (PSOE_Generales2023.pdf, Página 195)【4:3†source】.

2. **Ley de Listas de Espera Nacional**:
   - Sumar plantea aprobar una ley de listas de espera que establezca tiempos máximos de espera y garantice un registro homogéneo, transparente y fiable de las listas de espera en todo el país (Sumar_Generales2023.pdf, Página 90)【4:1†source】.

3. **Reducción Proactiva en Centros Públicos**:
   - VOX busca reducir el volumen y tiempo de las listas de espera incentivando a los centros públicos para su reducción, además de reforzar los conciertos con la sanidad privada (VOX_Generales2023.pdf, Páginas 57-58)【4:19†source】.

4. **Expansión de la Cobertura de Servicios para Reducir Esperas**:
   - Sumar propone incorporar a los servicios sanitarios públicos nuevas prestaciones como la salud bucodental y la psicoterapia, con la idea de que su inclusión ampliada reduzca desigualdades en el acceso y, potencialmente, listas de espera (Sumar_Generales2023.pdf, Página 90)【4:1†source】.

5. **Medidas Estructurales para Reducir Listas de Espera**:
   - EH Bildu tiene intención de establecer medidas específicas para reducir las listas de espera y el copago, aunque ofrece pocos detalles específicos sobre las acciones concretas para implementar estas reducciones (Bildu_Generales2023.pdf, Página 7)【4:6†source】.

Referencias:
   - Documento: PSOE_Generales2023.pdf
   - Documento: Sumar_Generales2023.pdf
   - Documento: VOX_Generales2023.pdf
   - Documento: Bildu_Generales2023.pdf",neutral,"",2025-02-12 18:51:30.25669
11,thread_pAhkGETRLa7zCQYbzdPB0Mlt,que partido esta a favor del independimos de Cataluña?,"El partido que está a favor de la independencia de Cataluña es ERC (Esquerra Republicana de Catalunya). En su programa electoral para las Elecciones Generales 2023, defienden el derecho de la ciudadanía de Cataluña a ejercer el derecho a la autodeterminación mediante la celebración de un referéndum para lograr una República Catalana de derechos y libertades【8:0†source】. Adicionalmente, abogan por una amnistía para combatir la represión estatal y garantizar todos los derechos civiles y políticos, así como por ser un baluarte contra la extrema derecha y por proteger y fomentar el uso de la lengua catalana【8:0†source】.

Referencia:
- Documento: ERC_Generales2023.pdf",neutral,"",2025-02-12 19:11:38.189906
6,thread_7JTnt3EsCgS4BU0UH4ASfLNY,¿Qué medidas se proponen para mejorar el acceso a la vivienda?,"Las propuestas de los partidos en cuanto al acceso a la vivienda son las siguientes:

1. **PSOE: Medidas para Mejorar el Acceso a la Vivienda** 
   - Incremento al 20% del parque público de vivienda mediante todas las medidas de la ley de vivienda (PSOE_Generales2023.pdf, p. 127)
  
2. **PSOE: Vivienda Asequible para Jóvenes**
   - Destinar el 30% de las viviendas promovidas a jóvenes de 18 a 35 años, ampliar el Bono Joven de Alquiler y otorgar ayudas directas para acceso a vivienda en propiedad en municipios pequeños (PSOE_Generales2023.pdf, p. 127)

3. **PSOE: Construcción de Viviendas Públicas**
   - Construir 183,000 viviendas públicas para alquiler, reservando la mitad para jóvenes y ampliando el Bono de Alquiler Joven (PSOE_Generales2023.pdf, p. 127)

4. **PSOE: Diversificación de Formatos Habitacionales**
   - Regular nuevas modalidades residenciales como alojamiento temporal, cohousing, apartamentos dotacionales, viviendas intergeneracionales y cooperativas de cesión de uso (PSOE_Generales2023.pdf, p. 220)

5. **Sumando: Inversión en Vivienda Protegida y Asequible**
   - Invertir continuamente el 1% del PIB durante diez años para generar un parque de alquiler protegido y asequible de más de dos millones de viviendas, utilizando la Sareb y la SEPES (Sumar_Generales2023.pdf)

Referencias:
- Documento: PSOE_Generales2023.pdf
- Documento: Sumar_Generales2023.pdf",neutral,"",2025-02-12 18:59:31.610915
7,thread_0sVw8KWAPlPhQJiN6jkon4KP,¿Qué partidos apoyan la educación gratuita en universidades?,"Basándonos en los documentos proporcionados, los partidos que apoyan la educación gratuita en universidades son:

Las principales propuestas son:

1. **PSOE: Estudios Universitarios y de Formación Profesional Gratuitos**
   - Establecerán la gratuidad de los estudios universitarios y de FP superior para aquellos alumnos que vayan aprobando las asignaturas a la primera, mediante un sistema de crédito ETC aprobado a la primera. Además, impulsarán la reducción de tasas universitarias para asegurar la igualdad de oportunidades en el acceso a la universidad【4:0†source】.

2. **PSOE: Refuerzo de Becas y Ayudas al Estudio**
   - Incrementarán la dotación del sistema de becas y ayudas al estudio para asegurar que ningún alumno se vea forzado a renunciar por falta de medios económicos. Aumentarán las becas en algunos conceptos e incorporarán nuevas becas para colectivos con necesidades específicas【4:2†source】.

3. **PSOE: Financiación Pública de Universidades**
   - Reforzarán la financiación pública de las universidades y promoverán la reducción de la precariedad, la formación a lo largo de la vida, la movilidad internacional del estudiantado y una mayor autonomía en la gobernanza universitaria【4:1†source】.

4. **PSOE: Modernización de Infraestructuras Universitarias**
   - Impulsarán la modernización de las infraestructuras de los campus universitarios y los centros de investigación, así como fomentarán la internacionalización en materia de investigación y docencia【4:0†source】.

Estos partidos tienen propuestas específicas para promover la gratuidad, el fortalecimiento de becas y ayudas, la financiación de las universidades y la modernización de infraestructuras en el ámbito educativo universitario.",neutral,"",2025-02-12 19:02:28.208073
8,thread_pAhkGETRLa7zCQYbzdPB0Mlt,Que partidos son los más solidos en cumplir sus promesas una vez son elegidos?,"Los partidos que han demostrado un sólido cumplimiento de promesas una vez en el poder son:

Las principales propuestas sobre pensiones son:

1. **PSOE: Reforma del Sistema de Pensiones**
   - Compromiso de revertir recortes anteriores, recuperar el poder adquisitivo de las pensiones y establecer una reforma en línea con el Pacto de Toledo (PSOE_Generales2023.pdf, p. 161)

2. **Junts: Condonación del FLA y mejoras en inversiones**
   - Propuesta de condonar el FLA y mejorar las inversiones incumplidas por otros partidos en Cataluña (Junts_Generales2023.pdf, p. 5)

Referencias:
- Documento: PSOE_Generales2023.pdf
- Documento: Junts_Generales2023.pdf 

Estos partidos muestran compromisos concretos y acciones específicas vinculadas a sus propuestas en materia de pensiones y finanzas públicas.",neutral,"",2025-02-12 19:10:07.440443
9,thread_2cHFDLVzjUosPGWcBEnZ1NpJ,¿Qué partidos apoyan la educación gratuita en universidades?,"Las principales propuestas de partidos políticos sobre educación gratuita en universidades son:

1. **PSOE: Gratuidad de Estudios Universitarios y de FP Superior**
   - Incremento en la dotación del sistema de becas y ayudas al estudio, establecimiento de la gratuidad de los estudios universitarios y de FP superior para aquellos alumnos que aprueben las asignaturas a la primera. Se propone un sistema de crédito ETC aprobado a la primera que será gratuito en el siguiente curso, con mejoras en cuantías, cantidad de presupuestos y necesidades para movilidad y estancias en el extranjero【4:0†source】.

2. **PSOE: Reducción de Tasas Universitarias para Igualdad de Oportunidades**
   - Impulso para reducir las tasas universitarias con el objetivo de asegurar la igualdad de oportunidades en el acceso a la universidad, además de reforzar las convocatorias de empleo público para reducir la precariedad y temporalidad laboral del personal universitario【4:0†source】.

3. **PSOE: Observatorio de la Equidad Educativa y Refuerzo de Becas**
   - Creación del Observatorio de la Equidad Educativa para analizar y mejorar la equidad en el sistema educativo, junto con el refuerzo del sistema de becas para garantizar que ningún estudiante se vea forzado a renunciar por falta de medios económicos【4:1†source】.

4. **PSOE: Programas de Formación Permanente y Colaboración Universidad-Industria**
   - Impulso a programas de formación permanente en colaboración con universidades y empresas, aceleración de programas de cátedras y becas universidad-industria para potenciar el talento en sectores de alta tecnología, como la inteligencia artificial y los semiconductores【4:0†source】.

Referencias:
- Documento: PSOE_Generales2023.pdf",neutral,"",2025-02-12 19:10:28.717535
